UserPrincipalName,GLCode
abbonizios,735-01-540-988
accountingdepartment,001-02-540-988
accountspayable,001-02-540-988
alberghinic,001-07-540-988
alexandera,419-01-540-988
aliceaa,300-01-540-988
alis,688-01-540-988
allenm,741-01-540-988
alleyneb,607-03-540-988
alvaradop,300-01-540-988
amayac,300-01-540-988
amazondev,001-05-540-988
anconak,547-01-540-988
andersonb,760-01-540-988
ap,001-02-540-988
apsi,001-02-540-988
Apstatements,001-02-540-988
ar,001-02-540-988
arbaizaj,331-01-540-988
arevalon,720-01-540-988
armentij,001-45-540-988
armstrongd,419-01-540-988
arnaod,581-01-540-988
Arnerb,001-04-540-988
arviaj,001-15-540-988
atkinsj,446-01-540-988
baezj,333-01-540-988
baezm,526-01-540-988
bakern,697-01-540-988
ballk,506-01-540-988
barbechom,300-01-540-988
barfussk,001-53-540-988
batchelderj,607-03-540-988
batesk,573-01-540-988
beamj,697-01-540-988
beckerp,001-02-540-988
beganit,604-01-540-988
behrensb,001-44-540-988
bejaranos,405-01-540-988
bellidos,300-01-540-988
berkeleymaintenance,332-01-540-988
BerkeleyQA,332-01-540-988
berrys,001-52-540-988
bigginsr,589-01-540-988
biggst,334-01-540-988
bispelsj,733-01-540-988
Biswaspa,001-05-540-988
blacks,593-01-540-988
bocchiarom,655-01-540-988
bradys,001-02-540-988
braxtonp,698-01-540-988
breent,511-01-540-988
brentleyj,739-01-540-988
bressanik,760-01-540-988
bridgemanm,589-01-540-988
brighamn,428-01-540-988
brochur,001-04-540-988
brownc,730-01-540-988
brownk,430-01-540-988
brownn,540-01-540-988
brownr,593-01-540-988
bubab,422-01-540-988
budgets,001-02-540-988
bunsterba,001-01-540-988
burnse,425-01-540-988
burnupp,001-64-540-988
butlers,567-01-540-988
Cabecinhaj,616-01-540-988
caldarellis,624-01-540-988
camposc,300-01-540-988
caraballod,721-01-540-988
cardenase,331-01-540-988
carrc,593-01-540-988
carrd,620-01-540-988
cartyp,519-01-540-988
carvajalt,331-01-540-988
casellik,638-01-540-988
catalanok,681-01-540-988
catanzaroc,523-01-540-988
cattertonc,001-58-540-988
cellit,436-01-540-988
Cenicolar,001-14-540-988
ceronj,331-01-540-988
cerulloa,589-01-540-988
charlesa,637-01-540-988
chavezf,300-01-540-988
chesbrok,753-01-540-988
chestnuts,724-01-540-988
chestnutt,733-01-540-988
chungd,652-01-540-988
chuw,679-01-540-988
clearys,523-01-540-988
coi@whitsons1.onmicrosoft.com,001-05-540-988
colesm,589-01-540-988
comeaur,626-01-540-988
connellyc,001-75-540-988
connollyd,597-01-540-988
contrerash,300-01-540-988
coopert,708-01-540-988
copperr,746-01-540-988
cordyb,716-01-540-988
correllc,434-01-540-988
corriganj,001-36-540-988
cortesd,300-01-540-988
covingtonv,716-01-540-988
cowlesl,635-01-540-988
crockettk,523-01-540-988
croteaud,571-01-540-988
croteauj,001-03-540-988
crowln,428-01-540-988
cruzlopezg,534-01-540-988
culinaryfax,300-01-540-988
cummaroc,428-01-540-988
curilloj,331-01-540-988
currad,562-01-540-988
curranm,514-01-540-988
curranms,602-01-540-988
CustomerService,001-05-540-988
cutchallv,575-01-540-988
cuttingr,592-01-540-988
Czornigm,683-01-540-988
dacostaj,441-01-540-988
dagostinod,717-01-540-988
dagostinot,301-01-540-988
dalyg,001-01-540-988
danielr,334-01-540-988
darrigok,658-01-540-988
davidd,683-01-540-988
davisb,738-01-540-988
davisj,593-01-540-988
daviss,300-01-540-988
Dawsons,001-61-540-988
Dcalert,001-05-540-988
dcsupport,001-05-540-988
deitchs,300-01-540-988
delaneym,607-03-540-988
delias,523-01-540-988
deliveries,300-01-540-988
delRussoa,742-01-540-988
demasia,516-01-540-988
demersn,516-01-540-988
demerst,564-01-540-988
dennist,523-01-540-988
derenzic,534-01-540-988
descenzad,001-63-540-988
deuerleinp,680-01-540-988
deviton,001-02-540-988
devlins,330-01-540-988
diazcrossa,717-01-540-988
dickmanj,001-07-540-988
diffenderferf,638-01-540-988
digregoriom,544-01-540-988
dimaggiop,519-01-540-988
dirienzij,001-77-540-988
disistom,001-03-540-988
dissanayakai,001-05-540-988
distefanom,001-04-540-988
distefanot,300-01-540-988
dittrichk,001-04-540-988
ditzelc,698-01-540-988
diwanap,001-19-540-988
dixonn,001-19-540-988
domingueze,332-01-540-988
donadoh,331-01-540-988
DoNotReply.TraceGains,001-05-540-988
dooleym,300-01-540-988
dossetta,423-01-540-988
doyler,001-02-540-988
draytona,728-01-540-988
draytona,728-01-540-988
Drohing,531-01-540-988
dunsons,654-01-540-988
dupuisp,407-06-540-988
earleyl,541-01-540-988
ebyk,597-01-540-988
edesl,682-01-540-988
elms,739-01-540-988
emeryr,001-42-540-988
espinale,333-01-540-988
espinosas,332-01-540-988
espinozag,331-01-540-988
espinozar,531-01-540-988
estebank,598-01-540-988
expense,001-02-540-988
familyfoundation,001-01-540-988
fanizzic,607-03-540-988
fantomm,655-01-540-988
fautasc,001-13-540-988
fedisone,692-01-540-988
Fehnelm,306-01-540-988
fergusonr,330-01-540-988
fernandezj,723-01-540-988
fernandezm,410-05-540-988
fernandezv,300-01-540-988
ferrantec,330-01-540-988
ferrantev,330-01-540-988
filerm,425-01-540-988
filipczakm,439-01-540-988
filom,541-01-540-988
finocchioj,732-01-540-988
fisherd,576-01-540-988
fleet,300-01-540-988
foodsafety,300-01-540-988
forda,300-01-540-988
forsyths,756-01-540-988
frasere,001-66-540-988
friedmang,301-01-540-988
friendk,001-28-540-988
fulcrumgroup,001-05-540-988
fuscoc,506-01-540-988
gabriels,716-01-540-988
gagliardia,306-01-540-988
gaglionel,001-65-540-988
gallagherg,509-01-540-988
garciam,331-01-540-988
garnerl,747-01-540-988
garrawayo,300-01-540-988
gelinast,621-03-540-988
gemellarot,547-01-540-988
germanc,300-01-540-988
gersbeckjr,001-21-540-988
gersbeckk,001-03-540-988
gilbertn@polarcrossing.com,213-01-540-988
gilbertn,300-01-540-988
gillisz,523-01-540-988
girondim,330-01-540-988
glennm,589-01-540-988
goldfarbc,001-39-540-988
goldsteinr,578-01-540-988
gomeza,334-01-540-988
gomezc,330-01-540-988
gomezjo,331-01-540-988
Gonzalezd,300-01-540-988
gonzalezg,426-01-540-988
gophanep,001-05-540-988
gourdinec,749-01-540-988
grahamr,419-01-540-988
grassol,001-07-540-988
gravesk,716-01-540-988
greenj,734-01-540-988
greenr,437-01-540-988
greens,447-01-540-988
grilloj,607-03-540-988
guinanj,001-04-540-988
gurleyc,334-01-540-988
hancockr,593-01-540-988
handbook,001-03-540-988
hargreavesv,748-01-540-988
harieglei,697-01-540-988
harrisonk,592-01-540-988
hayness,713-01-540-988
haynesy,685-01-540-988
hazellw,001-02-540-988
hearthealth,001-53-540-988
heidlerh,702-01-540-988
helpdesk,001-05-540-988
hendersons,523-01-540-988
hengstr,001-74-540-988
hennessyj,681-01-540-988
hernandezm,445-01-540-988
hernandezos,331-01-540-988
hillk,716-01-540-988
hillw,430-01-540-988
hisgenc,562-01-540-988
honeyd,716-01-540-988
Hoolahanr,546-01-540-988
hoshinga,533-01-540-988
howards,754-01-540-988
hrdepartment,001-03-540-988
huetherw,001-05-540-988
hussains,001-05-540-988
hutchinsonj,330-01-540-988
hutsone,334-01-540-988
hymans,758-01-540-988
info@whitsons1.onmicrosoft.com,001-04-540-988
infrasupport,001-05-540-988
ingebretsenk,561-01-540-988
Innovation,001-44-540-988
intintolid,549-01-540-988
jacksond,330-01-540-988
jacksonn,589-01-540-988
jacksonne,330-01-540-988
jacksons,423-01-540-988
jahnj,434-01-540-988
jamadarh,001-19-540-988
jamiesonb,725-01-540-988
Jeann,589-01-540-988
jeantyj,334-01-540-988
jesusg,331-01-540-988
jimenezm,539-01-540-988
jimenezma,332-01-540-988
johnsonc,424-01-540-988
johnsond,438-01-540-988
johnsonk,737-01-540-988
johnsonp,300-01-540-988
jona,300-01-540-988
jonesg,590-01-540-988
jonesma,330-01-540-988
jonesmi,726-01-540-988
